id,title,artist,duration,audio_url,cover_art_url,user_id,created_at,updated_at,lyrics_url,image_url,cover_url,genre,is_nft,play_count,likes_count,trending_score
b9156da6-fa5b-420b-bd8d-607ead1adca3,Baby (Is it a Crime),Rema,164,96733c04-aff0-4c1c-9b1f-4c1afc189452/1748826557430_Rema-Baby-Is-It-A-Crime-(TrendyBeatz.com).mp3,null,96733c04-aff0-4c1c-9b1f-4c1afc189452,2025-06-02 01:09:26.683537+00,2025-06-02 01:09:26.683537+00,null,null,96733c04-aff0-4c1c-9b1f-4c1afc189452/1748826565012_images.jpg,null,false,0,0,0
4d69300e-c6f1-4de9-a63c-3ae77deecc36,Laho,Shallipopi,144,96733c04-aff0-4c1c-9b1f-4c1afc189452/1748827007206_Shallipopi_-_Laho.mp3,null,96733c04-aff0-4c1c-9b1f-4c1afc189452,2025-06-02 01:16:53.558149+00,2025-06-02 01:16:53.558149+00,null,null,96733c04-aff0-4c1c-9b1f-4c1afc189452/1748827011313_ab67616d0000b273c3a6a0f6939149124d524072.jpg,Other,false,0,0,0
d0a34f02-aba9-48ed-9fb5-8cc1798ec161,Emeka Must Shine,Blaqbonez,124,8ad83add-e06f-4d40-82a5-8ec8e256c9a0/1748860937593_Blaqbonez_-_Emeka_Must_Shine_Vistanaij.com.ng.mp3,null,8ad83add-e06f-4d40-82a5-8ec8e256c9a0,2025-06-02 10:42:23.729001+00,2025-06-02 10:42:23.729001+00,null,null,8ad83add-e06f-4d40-82a5-8ec8e256c9a0/1748860942401_images (1).jpg,Pop,false,0,0,0
3f5072b6-a4a4-41bf-bef1-6ee8f9bc62c8,screaming beauty,shoday,162,96733c04-aff0-4c1c-9b1f-4c1afc189452/1748953508055_Shoday-Ft-Olivetheboy-Screaming-Beauty-(TrendyBeatz.com).mp3,null,96733c04-aff0-4c1c-9b1f-4c1afc189452,2025-06-03 12:25:22.979563+00,2025-06-03 12:25:22.979563+00,null,null,null,Pop,false,0,0,0
2e91baf6-68ee-4ebf-b294-166c30d5da98,Slow Jamz,"Kanye West ",320,a6d50ec4-5ca0-4b8b-947a-92c8f817192b/1748955011602_12. Slow Jamz (Ft. Twista & Jamie Foxx).mp3,null,a6d50ec4-5ca0-4b8b-947a-92c8f817192b,2025-06-03 12:50:30.559306+00,2025-06-03 12:50:30.559306+00,null,null,null,Jazz,false,0,0,0
954e7c04-a580-4621-af28-15798f7f0756,"Emmy ",Asake,164,734adb1a-a5b5-4181-8a41-80ffac1cd0fb/1750089972205_Asake-Dupe-(TrendyBeatz.com).mp3,null,734adb1a-a5b5-4181-8a41-80ffac1cd0fb,2025-06-16 16:06:38.616662+00,2025-06-16 16:06:38.616662+00,null,null,734adb1a-a5b5-4181-8a41-80ffac1cd0fb/1750089996012_Screenshot_20250609-112438.png,R&B,false,0,0,0
58d18ace-fbc6-46cf-9885-f990b331fb55,Amapiano,Asake Ft Olamide,165,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102218712_Asake-Ft-Olamide-Amapiano-(TrendyBeatz.com).mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 19:57:09.043006+00,2025-09-05 19:57:09.043006+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102224541_Asake & Olamide - Amapiano.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102225422_amapiano.jpg,Afro,false,0,0,0
ad91c094-e570-4f2b-9f90-4e6d6ecfa33a,Hello,Adele,367,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757097781924_Adele - Hello.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 18:43:10.245912+00,2025-09-05 18:43:10.245912+00,null,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757097786944_hellobyadele.jpg,R&B,false,0,0,0
407a5441-3fde-424b-8a2f-1488f012e03e,Turn your light down low,Bob-Marley feat Lauryn-Hill,259,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757100823763_Bob-Marley-feat-Lauryn-Hill-Turn-Your-Lights-Down-Low-(CeeNaija.com).mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 19:33:53.860972+00,2025-09-05 19:33:53.860972+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757100829402_Bob Marley - Turn Your Lights Down Low (feat. Lauryn Hill).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757100830281_turn your lights down low.jpg,R&B,false,0,0,0
1eba9aeb-d3cc-4f6f-9347-f9c59f80281f,Halo,Beyonce,262,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757101533868_Beyonce- Halo.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 19:45:50.634969+00,2025-09-05 19:45:50.634969+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757101546069_Beyonce- Halo.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757101547145_halo.jpg,Pop,false,0,0,0
